city,line,station,order,lat,lng
Санкт-Петербург,Московско-Петроградская,Петроградская,6,59.966389,30.311293
Санкт-Петербург,Московско-Петроградская,Горьковская,7,59.956112,30.31889
Санкт-Петербург,Московско-Петроградская,Невский проспект,8,59.935421,30.327052
Санкт-Петербург,Московско-Петроградская,Сенная площадь,9,59.927135,30.320316
Санкт-Петербург,Московско-Петроградская,Технологический институт 2,10,59.916512,30.318485
Санкт-Петербург,Московско-Петроградская,Фрунзенская,11,59.906273,30.31745
Санкт-Петербург,Московско-Петроградская,Московские ворота,12,59.891788,30.317873
Санкт-Петербург,Московско-Петроградская,Электросила,13,59.879189,30.318659
Санкт-Петербург,Московско-Петроградская,Парк Победы,14,59.866344,30.321802
Санкт-Петербург,Московско-Петроградская,Московская,15,59.848873,30.321483
Санкт-Петербург,Московско-Петроградская,Звёздная,16,59.833241,30.349428
Санкт-Петербург,Московско-Петроградская,Купчино,17,59.829781,30.375702
Санкт-Петербург,Невско-Василеостровская,Беговая,0,59.98723,30.20247
Санкт-Петербург,Невско-Василеостровская,Приморская,2,59.948521,30.23447
Санкт-Петербург,Невско-Василеостровская,Василеостровская,3,59.942577,30.278254
Санкт-Петербург,Невско-Василеостровская,Гостиный двор,4,59.933933,30.33341
Санкт-Петербург,Невско-Василеостровская,Маяковская,5,59.931366,30.354645
Санкт-Петербург,Невско-Василеостровская,Площадь Александра Невского 1,6,59.924369,30.384989
Санкт-Петербург,Невско-Василеостровская,Елизаровская,7,59.89669,30.423656
Санкт-Петербург,Невско-Василеостровская,Ломоносовская,8,59.877342,30.441715
Санкт-Петербург,Невско-Василеостровская,Пролетарская,9,59.865,30.47
Санкт-Петербург,Невско-Василеостровская,Обухово,10,59.848709,30.457743
Санкт-Петербург,Невско-Василеостровская,Рыбацкое,11,59.830986,30.501259
Санкт-Петербург,Невско-Василеостровская,Зенит,12,59.972222,30.211667
Санкт-Петербург,Правобережная,Спасская,0,59.927135,30.320316
Санкт-Петербург,Правобережная,Достоевская,1,59.928234,30.346029
Санкт-Петербург,Правобережная,Лиговский проспект,2,59.920811,30.355055
Санкт-Петербург,Правобережная,Площадь Александра Невского 2,3,59.923563,30.383421
Санкт-Петербург,Правобережная,Новочеркасская,4,59.929092,30.411915
Санкт-Петербург,Правобережная,Ладожская,5,59.93243,30.439274
Санкт-Петербург,Правобережная,Проспект Большевиков,6,59.919838,30.466757
Санкт-Петербург,Правобережная,Улица Дыбенко,7,59.907417,30.483311
Санкт-Петербург,Фрунзенско-Приморская,Комендантский проспект,0,60.008591,30.258663
Санкт-Петербург,Фрунзенско-Приморская,Старая Деревня,1,59.989433,30.255163
Санкт-Петербург,Фрунзенско-Приморская,Крестовский остров,2,59.971821,30.259436
Санкт-Петербург,Фрунзенско-Приморская,Чкаловская,3,59.961033,30.292006
Санкт-Петербург,Фрунзенско-Приморская,Спортивная,4,59.952026,30.291338
Санкт-Петербург,Фрунзенско-Приморская,Адмиралтейская,5,59.935867,30.31523
Санкт-Петербург,Фрунзенско-Приморская,Садовая,6,59.926739,30.317753
Санкт-Петербург,Фрунзенско-Приморская,Звенигородская,7,59.92065,30.329599
Санкт-Петербург,Фрунзенско-Приморская,Обводный Канал,8,59.914686,30.34815
Санкт-Петербург,Фрунзенско-Приморская,Волковская,9,59.896023,30.35754
Санкт-Петербург,Фрунзенско-Приморская,Бухарестская,10,59.883769,30.368932
Санкт-Петербург,Фрунзенско-Приморская,Международная,11,59.870203,30.379289
Санкт-Петербург,Фрунзенско-Приморская,Дунайская,12,59.839889,30.410667
Санкт-Петербург,Фрунзенско-Приморская,Проспект Славы,13,59.856704,30.395402
Санкт-Петербург,Фрунзенско-Приморская,Шушары,14,59.819973,30.432718
